name	A	B	C	D	E	price	taste	touch	smell	sight	sound	type	rarity	location	earliestChapter	key
Fairy Flower Bulb	4	0	0	0	0	14			+			Flower	Common	Enchanted Forest	1	fb
Impstool Mushroom	0	4	0	0	0	17		+				Fungus	Common	Enchanted Forest	1	im
Rotfly Larva	0	0	4	0	0	10	+					Bug	Common	Enchanted Forest	1	rl
Feyberry	6	0	0	0	0	4						Fruit	Common	Enchanted Forest	1	fy
Mandrake Root	0	6	0	0	0	6						Plant	Common	Enchanted Forest	1	mr
Sack of Slime	0	0	6	0	0	7						Slime	Common	Enchanted Forest	1	ss
Kappa Pheromones	4	0	4	0	0	13						Essences	Uncommon	Enchanted Forest	1	kp
Pixiedust Diamond	0	4	4	0	0	14						Gem	Uncommon	Enchanted Forest	1	px
River Calamari	8	0	0	0	0	5		-				Fish	Common	Enchanted Forest	1	rv
River-Pixie's Shell	4	4	0	0	0	11						Mineral	Uncommon	Enchanted Forest	1	rs
Serpent's Slippery Tongue	0	8	0	0	0	6			-			Flesh	Common	Enchanted Forest	1	st
Unicorn Horn	0	0	8	0	0	6	-					Bone	Common	Enchanted Forest	1	uh
Cubic Ooze	3	3	3	0	0	16						Slime	Rare	Enchanted Forest	1	cz
Desert Metal	0	12	0	0	0	25		+				Ores	Common	Bone Wastes	1	dm
Fairy Flower Bud	12	0	0	0	0	23			+			Flower	Common	Bone Wastes	1	fd
Rotfly Cocoon	0	0	12	0	0	25	+					Bug	Uncommon	Bone Wastes	1	rc
Glass Ore	0	0	0	18	0	24						Ores	Common	Bone Wastes	1	go
Horned Jelly	18	0	0	0	0	20		-		+		Slime	Uncommon	Bone Wastes	1	hj
Manwyrm Root	0	18	0	0	0	14						Plant	Common	Bone Wastes	1	mw
Sphinx Flea	12	6	0	0	0	35		+				Bug	Rare	Bone Wastes	1	sx
Figment Pomme	0	18	6	0	0	26						Fruit	Uncommon	Bone Wastes	1	fp
Golem's-Eye Diamond	0	12	12	0	0	28						Gem	Uncommon	Bone Wastes	1	gd
Leech Snail's Shell	12	12	0	0	0	26						Mineral	Uncommon	Bone Wastes	1	ll
Salamander's Fiery Tongue	0	24	0	0	0	22			-			Flesh	Common	Bone Wastes	1	sf
Frog Leg	0	0	24	12	0	33				-		Flesh	Epic	Bone Wastes	1	fl
Golemite	18	12	0	10	0	38						Mineral	Rare	Bone Wastes	1	gi
